epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,178.98,1.64453,0.61834,0.41901,1.27267,1.53637,0.78649,1,0.93001,0.44176,0.72761,0.9375,0.81876,0.67721,1.84199,1.52548,0.3074,1.90183,1.99067,0.00120284,0.00120284,0.00120284
38,182.847,1.58309,0.89795,0.41911,1.22107,1.50485,0.861,1,0.98633,0.34346,0.80004,0.9375,0.88525,0.8162,2.1564,1.20356,0.27326,2.07571,2.22731,0.00118995,0.00118995,0.00118995
39,186.647,1.61547,0.7043,0.417,1.25745,1.54404,0.78714,0.96875,0.94988,0.41061,0.72625,0.90625,0.85863,0.81084,1.93569,1.07798,0.27293,1.72515,1.98025,0.00117706,0.00117706,0.00117706
40,190.495,1.59515,0.64202,0.44604,1.2504,1.58327,0.93244,0.9375,0.93791,0.54106,0.90168,0.90625,0.87752,0.74828,1.40859,1.39378,0.15548,1.23755,1.73316,0.00116417,0.00116417,0.00116417
41,194.163,1.60201,0.66007,0.37755,1.2167,1.58725,0.94129,0.96875,0.94895,0.5313,0.81756,0.84375,0.77702,0.59104,1.45684,2.0158,0.18239,1.23207,1.7472,0.00115127,0.00115127,0.00115127
42,198.614,1.62472,0.78995,0.37796,1.21132,1.55509,0.93563,0.96875,0.96071,0.53856,0.90606,0.9375,0.90284,0.79129,1.55983,1.11257,0.13584,1.42553,1.86941,0.00113838,0.00113838,0.00113838
43,205.148,1.56265,0.72129,0.41645,1.16739,1.55084,0.9734,0.98692,0.995,0.51428,0.91373,0.93427,0.91884,0.78136,1.58071,1.14793,0.12689,1.26453,1.75202,0.00112549,0.00112549,0.00112549
44,209.377,1.64973,0.63308,0.40128,1.27485,1.56578,0.8561,0.9375,0.90405,0.51674,0.82617,0.90625,0.88539,0.80483,1.51901,1.05686,0.3339,1.04219,1.70022,0.00111259,0.00111259,0.00111259
45,213.248,1.58077,0.6441,0.40321,1.21172,1.50776,0.85601,0.9375,0.9093,0.47532,0.82574,0.90625,0.8721,0.81039,1.65968,1.0351,0.19658,1.10829,1.70773,0.0010997,0.0010997,0.0010997
46,217.099,1.65603,0.81584,0.39041,1.31348,1.57785,0.90171,0.96875,0.97246,0.51775,0.87896,0.9375,0.9227,0.83528,1.60083,1.1148,0.19002,1.1552,1.76149,0.00108681,0.00108681,0.00108681
47,221.173,1.57208,0.7886,0.39824,1.21926,1.5458,0.83303,0.95404,0.96582,0.54423,0.80027,0.92376,0.90271,0.79231,1.55456,1.22197,0.17567,1.32231,1.77939,0.00107391,0.00107391,0.00107391
48,227.764,1.62059,0.52953,0.36085,1.27168,1.60816,0.6626,0.89029,0.92106,0.36922,0.63986,0.92799,0.88443,0.73994,2.27226,1.43474,0.59285,1.46976,2.24574,0.00106102,0.00106102,0.00106102
49,233.689,1.51694,0.62213,0.35816,1.16498,1.4738,0.61881,0.59097,0.56067,0.29463,0.90321,0.71299,0.83924,0.63752,2.30561,1.78182,0.57593,1.30939,2.30025,0.00104813,0.00104813,0.00104813
50,239.963,1.50569,0.76961,0.36353,1.19176,1.49547,0.66132,0.75623,0.70315,0.30966,0.86764,0.84375,0.88167,0.69236,2.19978,1.65793,0.60717,1.08405,2.17388,0.00103523,0.00103523,0.00103523
51,245.886,1.57582,0.59631,0.36671,1.19431,1.48278,0.88193,0.84375,0.88228,0.32742,0.914,0.875,0.85517,0.7352,2.16694,1.39845,0.63846,1.02438,2.26503,0.00102234,0.00102234,0.00102234
52,252.063,1.49679,0.61318,0.3569,1.08885,1.45826,0.98777,1,0.995,0.56033,0.92573,0.9375,0.90125,0.87868,1.44165,0.90906,0.16275,0.92395,1.83415,0.00100945,0.00100945,0.00100945
53,258.281,1.53818,0.64592,0.34909,1.1599,1.48179,0.98756,1,0.995,0.52533,0.92589,0.9375,0.89187,0.87496,1.51881,0.87987,0.11479,0.93263,1.82774,0.000996553,0.000996553,0.000996553
